diagnosis,count_in_file,scenario_ids,strict_match_type,strict_matched_alias,strict_match_score,guideline_source,guideline_title,guideline_id,guideline_path,shared_tokens,original_mayoclinic_title,original_uptodate_title
"Abdominal pain, epigastric",1,163,exact,abdominal pain,4.0,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,"abdominal, pain",Abdominal ultrasound,Evaluation of the adult with abdominal pain
"Abdominal pain, right lower quadrant",1,8,exact,abdominal pain,4.0,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,"abdominal, pain",Abdominal ultrasound,Evaluation of the adult with abdominal pain
Achalasia and cardiospasm,1,83,exact,achalasia,4.0,mayoclinic,Achalasia,197,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,achalasia,Achalasia,Surgical myotomy for achalasia
Acute Pharyngitis,3,"86,108,127",exact,pharyngitis,4.0,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,pharyngitis,Sore throat,Evaluation of sore throat in children
Acute appendicitis with generalized peritonitis,1,170,exact,appendicitis,4.0,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,appendicitis,Appendicitis,Management of acute appendicitis in adults
Acute appendicitis without mention of peritonitis,8,"21,26,54,55,88,156,174,198",exact,appendicitis,4.0,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,appendicitis,Appendicitis,Management of acute appendicitis in adults
Acute infective polyneuritis,1,5,exact,guillain barre syndrome,4.0,mayoclinic,Guillain-Barre syndrome,756,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,,Guillain-Barre syndrome,Guillain-Barré syndrome in adults: Treatment and prognosis
"Acute pericarditis, unspecified",1,115,exact,pericarditis,4.0,mayoclinic,Pericarditis,610,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,pericarditis,Pericarditis,Recurrent pericarditis
Acute pharyngitis,3,"38,66,104",exact,pharyngitis,4.0,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,pharyngitis,Sore throat,Evaluation of sore throat in children
"Acute pharyngitis, unspecified",1,185,exact,pharyngitis,4.0,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,pharyngitis,Sore throat,Evaluation of sore throat in children
Acute tonsillitis,1,135,exact,tonsillitis,4.0,mayoclinic,Tonsillitis,991,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,tonsillitis,Sore throat,Evaluation of sore throat in children
