failed_diagnosis,scenario_ids,guideline_relative_path,guideline_diagnosis,guideline_title,title_overlap_ratio
Acute Pharyngitis,108,experiments/guideline_based_experience/guidelines/acute_pharyngitis_uptodate.txt,Acute Pharyngitis,Evaluation of acute pharyngitis in adults,1.00
Acute appendicitis with generalized peritonitis,170,experiments/guideline_based_experience/guidelines/acute_appendicitis_with_generalized_peritonitis_mayoclinic.txt,Acute appendicitis with generalized peritonitis,Appendicitis,1.00
Acute appendicitis without mention of peritonitis,"54,88,174,198",experiments/guideline_based_experience/guidelines/acute_appendicitis_without_mention_of_peritonitis_mayoclinic.txt,Acute appendicitis without mention of peritonitis,Appendicitis,1.00
Acute tonsillitis,135,experiments/guideline_based_experience/guidelines/acute_tonsillitis_mayoclinic.txt,Acute tonsillitis,Tonsillitis,1.00
"Alcohol abuse with intoxication, unspecified","59,91,117,142,155,157",,,,
"Alcohol abuse, unspecified","40,93,102,111,116,122,132,148,153,194",,,,
Anaphylactic reaction due to unspecified food,11,,,,
Anomalies of other endocrine glands,144,,,,
"Anxiety state, unspecified","94,103",,,,
Atrial fibrillation,98,experiments/guideline_based_experience/guidelines/atrial_fibrillation_mayoclinic.txt,Atrial fibrillation,Atrial fibrillation,1.00
"Backache, unspecified",82,,,,
Bacterial Vaginosis,187,experiments/guideline_based_experience/guidelines/bacterial_vaginosis_mayoclinic.txt,Bacterial Vaginosis,Bacterial vaginosis,1.00
Benign neoplasm of ovary,39,,,,
"Calculus of bile duct without mention of cholecystitis, without mention of obstruction",7,,,,
"Calculus of gallbladder with other cholecystitis, without mention of obstruction",124,experiments/guideline_based_experience/guidelines/calculus_of_gallbladder_with_other_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",Cholecystitis,1.00
Calculus of kidney,183,,,,
Calculus of ureter,"56,190",,,,
"Cellulitis and abscess of finger, unspecified",162,experiments/guideline_based_experience/guidelines/cellulitis_and_abscess_of_finger_unspecified_mayoclinic.txt,"Cellulitis and abscess of finger, unspecified",Cellulitis,1.00
"Cellulitis and abscess of foot, except toes",45,experiments/guideline_based_experience/guidelines/cellulitis_and_abscess_of_foot_except_toes_mayoclinic.txt,"Cellulitis and abscess of foot, except toes",Cellulitis,1.00
