diagnosis,scenario_ids,count_in_file,source,guideline_title,guideline_id,guideline_origin_path,guideline_txt_file,strict_matched_alias,strict_match_score
"Abdominal pain, epigastric",163,1,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/abdominal_pain_epigastric_uptodate.txt,abdominal pain,4.0
"Abdominal pain, right lower quadrant",8,1,uptodate,Evaluation of the adult with abdominal pain,15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/15291.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/abdominal_pain_right_lower_quadrant_uptodate.txt,abdominal pain,4.0
Achalasia and cardiospasm,83,1,mayoclinic,Achalasia,197,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/achalasia_and_cardiospasm_mayoclinic.txt,achalasia,4.0
Acute Pharyngitis,"86,108,127",3,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pharyngitis_uptodate.txt,pharyngitis,4.0
Acute appendicitis with generalized peritonitis,170,1,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_appendicitis_with_generalized_peritonitis_mayoclinic.txt,appendicitis,4.0
Acute appendicitis without mention of peritonitis,"21,26,54,55,88,156,174,198",8,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_appendicitis_without_mention_of_peritonitis_mayoclinic.txt,appendicitis,4.0
Acute infective polyneuritis,5,1,mayoclinic,Guillain-Barre syndrome,756,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_infective_polyneuritis_mayoclinic.txt,guillain barre syndrome,4.0
"Acute pericarditis, unspecified",115,1,mayoclinic,Pericarditis,610,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pericarditis_unspecified_mayoclinic.txt,pericarditis,4.0
Acute pharyngitis,"38,66,104",3,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pharyngitis_uptodate_2.txt,pharyngitis,4.0
"Acute pharyngitis, unspecified",185,1,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/guidelines/acute_pharyngitis_unspecified_uptodate.txt,pharyngitis,4.0
