cleaned_diagnosis,original_diagnosis,scenario_ids,count_in_file,source,guideline_title,guideline_id,guideline_origin_path,cleaned_guideline_txt_file,strict_matched_alias,strict_match_score
Achalasia and cardiospasm,Achalasia and cardiospasm,83,1,mayoclinic,Achalasia,197,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/achalasia_and_cardiospasm_mayoclinic.txt,achalasia,4.0
Acute Pharyngitis,Acute Pharyngitis,"86,108,127",3,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_pharyngitis_uptodate.txt,pharyngitis,4.0
Acute appendicitis with generalized peritonitis,Acute appendicitis with generalized peritonitis,170,1,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_appendicitis_with_generalized_peritonitis_mayoclinic.txt,appendicitis,4.0
Acute appendicitis without mention of peritonitis,Acute appendicitis without mention of peritonitis,"21,26,54,55,88,156,174,198",8,mayoclinic,Appendicitis,752,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_appendicitis_without_mention_of_peritonitis_mayoclinic.txt,appendicitis,4.0
Acute infective polyneuritis,Acute infective polyneuritis,5,1,mayoclinic,Guillain-Barre syndrome,756,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_infective_polyneuritis_mayoclinic.txt,guillain barre syndrome,4.0
Acute pericarditis,"Acute pericarditis, unspecified",115,1,mayoclinic,Pericarditis,610,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_pericarditis_mayoclinic.txt,pericarditis,4.0
Acute pharyngitis,Acute pharyngitis,"38,66,104",3,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_pharyngitis_uptodate_2.txt,pharyngitis,4.0
Acute pharyngitis,"Acute pharyngitis, unspecified",185,1,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_pharyngitis_uptodate_3.txt,pharyngitis,4.0
Acute tonsillitis,Acute tonsillitis,135,1,mayoclinic,Tonsillitis,991,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/acute_tonsillitis_mayoclinic.txt,tonsillitis,4.0
Atrial fibrillation,Atrial fibrillation,98,1,mayoclinic,Atrial fibrillation,833,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/atrial_fibrillation_mayoclinic.txt,atrial fibrillation,4.0
Bacterial Pharyngitis,Bacterial Pharyngitis,95,1,uptodate,Evaluation of acute pharyngitis in adults,11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/结果/11303.txt,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/bacterial_pharyngitis_uptodate.txt,pharyngitis,4.0
Bacterial Vaginosis,Bacterial Vaginosis,187,1,mayoclinic,Bacterial vaginosis,357,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/bacterial_vaginosis_mayoclinic.txt,bacterial vaginosis,4.0
"Calculus of bile duct without mention of cholecystitis, without mention of obstruction","Calculus of bile duct without mention of cholecystitis, without mention of obstruction",7,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/calculus_of_bile_duct_without_mention_of_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
"Calculus of gallbladder and bile duct with cholecystitis, without mention of obstruction","Calculus of gallbladder and bile duct with other cholecystitis, without mention of obstruction",199,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/calculus_of_gallbladder_and_bile_duct_with_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
Calculus of gallbladder with acute and chronic cholecystitis without obstruction,Calculus of gallbladder with acute and chronic cholecystitis without obstruction,172,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/calculus_of_gallbladder_with_acute_and_chronic_cholecystitis_without_obstruction_mayoclinic.txt,cholecystitis,4.0
"Calculus of gallbladder with acute cholecystitis, without mention of obstruction","Calculus of gallbladder with acute cholecystitis, without mention of obstruction",30,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/calculus_of_gallbladder_with_acute_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
"Calculus of gallbladder with cholecystitis, without mention of obstruction","Calculus of gallbladder with other cholecystitis, without mention of obstruction",124,1,mayoclinic,Cholecystitis,204,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/mayoclinical.json,/Users/xiaofanlu/Documents/github_repos/uncertainty-aware-reasoning-agent/experiments/guideline_based_experience/cleaned_guidelines/calculus_of_gallbladder_with_cholecystitis_without_mention_of_obstruction_mayoclinic.txt,cholecystitis,4.0
